assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail
GCA_002279825.1	SAMN06622389	Sphingomonadales bacterium 12-68-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279855.1	SAMN06622386	Rhizobiales bacterium 12-68-15	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279875.1	SAMN06622392	Novosphingobium sp. 12-63-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279885.1	SAMN06622388	Hydrogenophilales bacterium 12-64-13	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279895.1	SAMN06622387	Rhodobacterales bacterium 12-65-15	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279935.1	SAMN06622385	Hyphomicrobium sp. 12-62-95	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279945.1	SAMN06622383	Sphingobacteriia bacterium 32-37-4	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279965.1	SAMN06622384	Candidatus Saccharibacteria bacterium 32-45-3	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002279985.1	SAMN06622382	Asticcacaulis sp. 32-58-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280005.1	SAMN06622381	Aerococcus viridans	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280025.1	SAMN06622380	Pseudomonadales bacterium 32-42-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280035.1	SAMN06622379	Pseudomonadales bacterium 32-61-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280065.1	SAMN06622378	Hyphomonas sp. 32-62-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280085.1	SAMN06622376	Sphingobium sp. 32-64-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280095.1	SAMN06622377	Verrucomicrobiales bacterium 32-60-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280125.1	SAMN06622375	Polynucleobacter sp. 32-46-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280155.1	SAMN06622374	Alishewanella sp. 32-51-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280165.1	SAMN06622373	Candidatus Saccharibacteria bacterium 32-49-10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280175.1	SAMN06622372	Algoriphagus sp. 32-45-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280205.1	SAMN06622371	Rhizobiales bacterium 32-66-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280225.1	SAMN06622369	Caulobacterales bacterium 32-67-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280235.1	SAMN06622370	Allobosea sp. 32-68-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280275.1	SAMN06622368	Caulobacter vibrioides	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280295.1	SAMN06622367	Acidovorax sp. 32-64-7	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280315.1	SAMN06622366	Rhodobacterales bacterium 32-66-7	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280325.1	SAMN06622365	Brevundimonas diminuta	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280335.1	SAMN06622364	Sphingomonadales bacterium 32-68-7	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280365.1	SAMN06622363	Sphingomonadales bacterium 32-67-7	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280395.1	SAMN06622362	Flavobacteriales bacterium 32-35-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280405.1	SAMN06622360	Rhodobacterales bacterium 32-66-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280415.1	SAMN06622361	Thiotrichales bacterium 32-46-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280425.1	SAMN06622359	Hydrogenophilales bacterium 32-62-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280475.1	SAMN06622357	Brevundimonas subvibrioides	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280485.1	SAMN06622355	Caulobacterales bacterium 32-69-10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280515.1	SAMN06622358	Rhodobacterales bacterium 32-67-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280525.1	SAMN06622356	Candidatus Saccharibacteria bacterium 32-50-10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280555.1	SAMN06622354	Sphingomonas sp. 32-62-10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280565.1	SAMN06622353	Sphingomonas sp. 32-66-10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280595.1	SAMN06622352	Comamonadaceae bacterium 32-67-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280615.1	SAMN06622349	Micrococcales bacterium 32-70-13	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280625.1	SAMN06622348	Candidatus Saccharibacteria bacterium 32-50-13	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280635.1	SAMN06622350	Candidatus Saccharibacteria bacterium 32-49-12	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280675.1	SAMN06622345	Novosphingobium sp. 32-60-15	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280685.1	SAMN06622344	Sphingomonadales bacterium 32-64-17	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280705.1	SAMN06622347	Rhodobacterales bacterium 32-64-14	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280725.1	SAMN06622346	Alphaproteobacteria bacterium 32-64-14	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280755.1	SAMN06622343	Sphingomonadales bacterium 32-64-22	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280775.1	SAMN06622341	Brevundimonas sp. 32-68-21	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280785.1	SAMN06622342	Brevundimonas subvibrioides	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280795.1	SAMN06622340	Azorhizobium sp. 32-67-21	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280815.1	SAMN06622339	Flavobacteriales bacterium 32-34-25	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280855.1	SAMN06622338	Sphingomonadales bacterium 32-65-25	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280875.1	SAMN06622337	Caulobacter sp. 32-67-35	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280885.1	SAMN06622336	Hyphomicrobium sp. 32-62-53	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280915.1	SAMN06622333	Bradyrhizobium sp. 35-63-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280925.1	SAMN06622334	Caulobacter sp. 35-67-4	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280935.1	SAMN06622332	Sphingobacteriia bacterium 35-40-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280945.1	SAMN06622331	Azorhizobium sp. 35-67-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002280995.1	SAMN06622330	Novosphingobium sp. 35-62-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281005.1	SAMN06622329	Acidocella sp. 35-58-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281025.1	SAMN06622328	Mehylophilales bacterium 35-46-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281045.1	SAMN06622327	Xanthobacter sp. 35-67-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281075.1	SAMN06622326	Rhizobiales bacterium 35-68-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281085.1	SAMN06622325	Sphingobacteriia bacterium 35-40-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281095.1	SAMN06622324	Thiotrichales bacterium 35-46-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281105.1	SAMN06622323	Polynucleobacter sp. 35-46-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281155.1	SAMN06622319	Sulfurovum sp. 35-42-20	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281175.1	SAMN06622321	Azorhizobium sp. 35-67-15	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281185.1	SAMN06622322	Sphingobacteriia bacterium 35-36-14	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281195.1	SAMN06622320	Acidovorax sp. 35-64-16	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281235.1	SAMN06622318	Sphingomonadales bacterium 35-56-22	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281255.1	SAMN06622317	Rhizobiales bacterium 35-66-30	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281265.1	SAMN06622316	Polaromonas sp. 35-63-35	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281275.1	SAMN06622315	Burkholderiales bacterium 35-55-47	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281295.1	SAMN06622314	Halothiobacillus sp. 35-54-62	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281325.1	SAMN06622313	Rhodospirillales bacterium 35-66-84	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281335.1	SAMN06622311	Polynucleobacter sp. 35-46-207	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281365.1	SAMN06622312	Gallionellales bacterium 35-53-114	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281395.1	SAMN06622310	Polaromonas sp. 35-63-240	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281405.1	SAMN06622308	Sulfurovum sp. 28-43-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281415.1	SAMN06622307	Burkholderiales bacterium 28-67-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281435.1	SAMN06622306	Hydrogenophilales bacterium 28-61-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281475.1	SAMN06622304	Methylophilales bacterium 28-44-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281485.1	SAMN06622301	Sphingomonas sp. 28-66-16	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281505.1	SAMN06622299	Sphingomonas sp. 28-62-20	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281535.1	SAMN06622303	Sphingomonas sp. 28-63-12	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281555.1	SAMN06622297	Hydrogenophilales bacterium 28-61-23	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281575.1	SAMN06622293	Sphingobacteriia bacterium 28-36-52	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281585.1	SAMN06622294	Sphingomonadales bacterium 28-56-43	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281615.1	SAMN06622291	Sphingomonadales bacterium 28-64-96	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281625.1	SAMN06622290	Methylophilales bacterium 16-45-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281655.1	SAMN06622289	Hydrogenophilales bacterium 16-62-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281675.1	SAMN06622287	Novosphingobium sp. 16-62-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281685.1	SAMN06622286	Campylobacterales bacterium 16-40-21	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281715.1	SAMN06622284	Polaromonas sp. 16-63-31	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281735.1	SAMN06622296	Gammaproteobacteria bacterium 28-57-27	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281755.1	SAMN06622279	Sulfurovum sp. 16-42-52	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281775.1	SAMN06622282	Hydrogenophilales bacterium 16-64-46	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281795.1	SAMN06622276	Acidovorax sp. 16-64-162	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281815.1	SAMN06622272	Methylotenera sp. 24-45-7	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281835.1	SAMN06622269	Sulfurovum sp. 24-42-9	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281855.1	SAMN06622264	Rhodospirillales bacterium 24-66-33	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281875.1	SAMN06622267	Sphingobacteriia bacterium 24-36-13	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281895.1	SAMN06622265	Polaromonas sp. 24-63-21	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281915.1	SAMN06622262	Burkholderiales bacterium 24-55-52	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281935.1	SAMN06622259	Polaromonas sp. 24-62-144	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281955.1	SAMN06622255	Rhizobiales bacterium 17-65-6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281975.1	SAMN06622247	Hydrogenophilales bacterium 17-64-11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002281995.1	SAMN06622252	Novosphingobium sp. 17-62-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282015.1	SAMN06622245	Sulfuricurvum sp. 17-40-25	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282035.1	SAMN06622244	Polaromonas sp. 17-63-33	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282055.1	SAMN06622242	Sphingobacteriales bacterium 17-39-43	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282065.1	SAMN06622241	Thiotrichales bacterium 17-46-47	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282095.1	SAMN06622240	Alphaproteobacteria bacterium 17-39-52	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282115.1	SAMN06622238	Hydrogenophilales bacterium 17-64-65	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282135.1	SAMN06622251	Methylophilaceae bacterium 17-44-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282155.1	SAMN06622250	Hydrogenophilales bacterium 17-62-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282175.1	SAMN06622232	Azorhizobium sp. 39-67-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282195.1	SAMN06622231	Sphingobacteriales bacterium 39-40-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282215.1	SAMN06622230	Thiotrichales bacterium 39-47-5	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282235.1	SAMN06622237	Hydrogenophilales bacterium 17-61-76	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282245.1	SAMN06622229	Methylophilales bacterium 39-45-7	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282275.1	SAMN06622227	Polynucleobacter sp. 39-46-10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282285.1	SAMN06622228	Sphingobacteriia bacterium 39-39-8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282295.1	SAMN06622235	Acidovorax sp. 17-64-282	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282335.1	SAMN06622226	Acidovorax sp. 39-64-12	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282355.1	SAMN06622225	Sulfurovum sp. 39-42-12	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282365.1	SAMN06622223	Rhizobiales bacterium 39-66-18	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282385.1	SAMN06622222	Sphingomonadales bacterium 39-57-19	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282415.1	SAMN06622220	Halothiobacillus sp. 39-53-45	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282435.1	SAMN06622219	Rhodospirillales bacterium 39-66-50	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282445.1	SAMN06622218	Burkholderiales bacterium 39-55-53	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282475.1	SAMN06622233	Caulobacter sp. 39-67-4	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_002282485.1	SAMN06622216	Polynucleobacter sp. 39-45-136	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
