synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
Raw Chicken Breast,,Raw Chicken Breast,raw chicken breast,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
pigeon feces,,pigeon feces,pigeon feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
blood meal,,blood meal,blood meal,Sample_Type_SD,blood,blood,clinical/host-associated material,UBERON:0000178,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab sponge from shoe cover farm worker,,environmental swab sponge from shoe cover farm worker,environmental swab sponge from shoe cover farm worker,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
feces avian,,feces avian,feces avian,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
soil from field,,soil from field,soil from field,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
minced beef,,minced beef,minced beef,Sample_Type_SD,beef,beef,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab from market,,environmental swab from market,environmental swab from market,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
"Autotrophic, nitrogen-fixing enrichment from a sediment sample",,"Autotrophic, nitrogen-fixing enrichment from a sediment sample",autotrophic nitrogen fixing enrichment from a sediment sample,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
terrigenous sediment of marine hydrothermal vent,,terrigenous sediment of marine hydrothermal vent,terrigenous sediment of marine hydrothermal vent,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
drinking water system-PR,,drinking water system-PR,drinking water system pr,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
drinking water system-DS3,,drinking water system-DS3,drinking water system ds3,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
black soil,,black soil,black soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
riparian sediment at a depth of 110 cm,,riparian sediment at a depth of 110 cm,riparian sediment at a depth of 110 cm,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
sediment trap from marine abyssalpelagic zone,,sediment trap from marine abyssalpelagic zone,sediment trap from marine abyssalpelagic zone,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
tundra soil,,tundra soil,tundra soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
high Arctic cold saline sulfur spring anaerobic sediment,,high Arctic cold saline sulfur spring anaerobic sediment,high arctic cold saline sulfur spring anaerobic sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
anaerobic sediment [ENVO:00002045],,anaerobic sediment [ENVO:00002045],anaerobic sediment envo 00002045,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
marine sediment; non-axenic culture containing Coleofasciculus chthonoplastes DSM 104242,,marine sediment; non-axenic culture containing Coleofasciculus chthonoplastes DSM 104242,marine sediment non axenic culture containing coleofasciculus chthonoplastes dsm 104242,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
Host; Plant root; Root nodule; Soil,,Host; Plant root; Root nodule; Soil,host plant root root nodule soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
shoreline [ENVO:00000486]|brackish water body [ENVO:01001321],,shoreline [ENVO:00000486]|brackish water body [ENVO:01001321],shoreline envo 00000486 brackish water body envo 01001321,Environment_Medium_SD,brackish water,brackish water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
Oxisol Soil,,Oxisol Soil,oxisol soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
hypersaline pond; non-axenic culture containing Coleofasciculus sp. DSM 104241,,hypersaline pond; non-axenic culture containing Coleofasciculus sp. DSM 104241,hypersaline pond non axenic culture containing coleofasciculus sp dsm 104241,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
"granules from the full-scale anammox reactor of Dokhaven-Sluisjesdijk wastewater treatment plant, further enriched at TU Delft in a chemostat over two months prior to sampling",,"granules from the full-scale anammox reactor of Dokhaven-Sluisjesdijk wastewater treatment plant, further enriched at TU Delft in a chemostat over two months prior to sampling",granules from the full scale anammox reactor of dokhaven sluisjesdijk wastewater treatment plant further enriched at tu delft in a chemostat over two months prior to sampling,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
Water samples,,Water samples,water samples,Environment_Medium_SD,environmental water,environmental water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; targeted suspicious fallback refinement 2026-04-30
EBPR bioreactors wastewater,,EBPR bioreactors wastewater,ebpr bioreactors wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
soil adjacent to cadaver decomposition,,soil adjacent to cadaver decomposition,soil adjacent to cadaver decomposition,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
sediment in ELVs dismantling site; transfer 14.0 in DhZhu medium with mix-carbon source,,sediment in ELVs dismantling site; transfer 14.0 in DhZhu medium with mix-carbon source,sediment in elvs dismantling site transfer 14 0 in dhzhu medium with mix carbon source,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
water spring,,water spring,water spring,Environment_Medium_SD,spring water,spring water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
water well [ENVO:01000002],,water well [ENVO:01000002],water well envo 01000002,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28
Pig (sow) - fecal,,Pig (sow) - fecal,pig sow fecal,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
Remnant water,,Remnant water,remnant water,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28
hot springs sediment,,hot springs sediment,hot springs sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
single cell amplified by MDA; Dewar Creek hot spring,,single cell amplified by MDA; Dewar Creek hot spring,single cell amplified by mda dewar creek hot spring,Sample_Type_SD,single cell,single cell,,,dictionary,high,approved,manual context recovery review 2026-04-28
Soil; rocky/sandy,,Soil; rocky/sandy,soil rocky sandy,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Microscale soil grain,,Microscale soil grain,microscale soil grain,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
compost soil,,compost soil,compost soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
sandy soil contaminated with hydrocarbons for 50 years,,sandy soil contaminated with hydrocarbons for 50 years,sandy soil contaminated with hydrocarbons for 50 years,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
healthcare wastewater (sewage),,healthcare wastewater (sewage),healthcare wastewater sewage,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,needs_review,manual context recovery review 2026-04-28; demoted duplicate conflict 2026-04-30; preferred=hospital wastewater
Melt water,,Melt water,melt water,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28
mineral spring [ENVO:00000125]| underground water body [ENVO:00000061],,mineral spring [ENVO:00000125]| underground water body [ENVO:00000061],mineral spring envo 00000125 underground water body envo 00000061,Environment_Medium_SD,groundwater,groundwater,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
Tap water/shower,,Tap water/shower,tap water shower,Environment_Medium_SD,built-environment water,built-environment water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; targeted suspicious fallback refinement 2026-04-30
Flushed hot water supplied to thermostatic mixing valve in public shower - women,,Flushed hot water supplied to thermostatic mixing valve in public shower - women,flushed hot water supplied to thermostatic mixing valve in public shower women,Environment_Medium_SD,built-environment water,built-environment water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; targeted suspicious fallback refinement 2026-04-30
"sludge from two different bioreactors, each one run at a different temprature (R1 at 35 C, R2 at 25 C), artificial municipal wastewater",,"sludge from two different bioreactors, each one run at a different temprature (R1 at 35 C, R2 at 25 C), artificial municipal wastewater",sludge from two different bioreactors each one run at a different temprature r1 at 35 c r2 at 25 c artificial municipal wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
lab-scale wastewater treatment,,lab-scale wastewater treatment,lab scale wastewater treatment,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
water from a pond,,water from a pond,water from a pond,Environment_Medium_SD,pond water,pond water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
environmental swab sponge floor,,environmental swab sponge floor,environmental swab sponge floor,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
Feces (Felis catus domesticus),,Feces (Felis catus domesticus),feces felis catus domesticus,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
Water from Hjalmaren Lake,,Water from Hjalmaren Lake,water from hjalmaren lake,Environment_Medium_SD,lake water,lake water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
Treated effluent water collected at a wastewater treatment plant,,Treated effluent water collected at a wastewater treatment plant,treated effluent water collected at a wastewater treatment plant,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
"Feces, Bald Eagle (Haliaeetus leucocephalus)",,"Feces, Bald Eagle (Haliaeetus leucocephalus)",feces bald eagle haliaeetus leucocephalus,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
cow feces,,cow feces,cow feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
bos taurus feces,,bos taurus feces,bos taurus feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
biome of soil in China,,biome of soil in China,biome of soil in china,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab bib of dairy farm worker,,environmental swab bib of dairy farm worker,environmental swab bib of dairy farm worker,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
feces (Equus caballus),,feces (Equus caballus),feces equus caballus,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab horse hospital,,environmental swab horse hospital,environmental swab horse hospital,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,needs_review,"manual context recovery review 2026-04-28 Facility context belongs in Isolation_Source_SD, not Sample_Type_SD."
Animal-Beefcattle-Feces,,Animal-Beefcattle-Feces,animal beefcattle feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
Environmental Swab-Farm,,Environmental Swab-Farm,environmental swab farm,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab from distribution center,,environmental swab from distribution center,environmental swab from distribution center,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
drinking water system-DS2,,drinking water system-DS2,drinking water system ds2,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
riparian sediment at a depth of 70 cm,,riparian sediment at a depth of 70 cm,riparian sediment at a depth of 70 cm,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
pure cell culture,,pure cell culture,pure cell culture,Sample_Type_SD,cell culture,cell culture,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
Bashi Channel surficial sediment,,Bashi Channel surficial sediment,bashi channel surficial sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
Bashi Channel sediment,,Bashi Channel sediment,bashi channel sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
riparian sediment at a depth of 50 cm,,riparian sediment at a depth of 50 cm,riparian sediment at a depth of 50 cm,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
Fjord Sediment,,Fjord Sediment,fjord sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
Arctic Fjord sediment,,Arctic Fjord sediment,arctic fjord sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
Genomic assembly,,Genomic assembly,genomic assembly,Sample_Type_SD,metagenomic assembly,metagenomic assembly,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
saline-alkali soil,,saline-alkali soil,saline alkali soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
River's water,,River's water,river s water,Environment_Medium_SD,river water,river water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
Aquatic; Fresh water,,Aquatic; Fresh water,aquatic fresh water,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,needs_review,manual context recovery review 2026-04-28; demoted duplicate conflict 2026-04-30; preferred=freshwater
thermophilic sediment from neutral hot spring,,thermophilic sediment from neutral hot spring,thermophilic sediment from neutral hot spring,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab sponge dairy powder manufacturing facility,,environmental swab sponge dairy powder manufacturing facility,environmental swab sponge dairy powder manufacturing facility,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
Full-scale methanogenic bioreactor treating purified terephthalic acid process wastewater,,Full-scale methanogenic bioreactor treating purified terephthalic acid process wastewater,full scale methanogenic bioreactor treating purified terephthalic acid process wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
cold seep sediment,,cold seep sediment,cold seep sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
"disinfectant-free drinking water, site 1",,"disinfectant-free drinking water, site 1",disinfectant free drinking water site 1,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
coastal; non-axenic culture containing Coleofasciculus chthonoplastes DSM 104244,,coastal; non-axenic culture containing Coleofasciculus chthonoplastes DSM 104244,coastal non axenic culture containing coleofasciculus chthonoplastes dsm 104244,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
ginseng cultivating soil,,ginseng cultivating soil,ginseng cultivating soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
feces from wild bird,,feces from wild bird,feces from wild bird,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
wet soil,,wet soil,wet soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Blood serum,,Blood serum,blood serum,Sample_Type_SD,blood,blood,clinical/host-associated material,UBERON:0000178,dictionary,high,approved,manual context recovery review 2026-04-28
bulk soil in field: waste rock at Westwood site,,bulk soil in field: waste rock at Westwood site,bulk soil in field waste rock at westwood site,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Sediment from the hot spring,,Sediment from the hot spring,sediment from the hot spring,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
clinical isolate from CHUGA (Grenoble),,clinical isolate from CHUGA (Grenoble),clinical isolate from chuga grenoble,Sample_Type_SD,clinical sample,clinical sample,,,dictionary,high,approved,manual context recovery review 2026-04-28
Ornithogenic soil,,Ornithogenic soil,ornithogenic soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Lomas Bayas Desert Soil Beside Boulder,,Lomas Bayas Desert Soil Beside Boulder,lomas bayas desert soil beside boulder,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
soil / grassland,,soil / grassland,soil grassland,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Rizosphere soil sample,,Rizosphere soil sample,rizosphere soil sample,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Potable bulk water,,Potable bulk water,potable bulk water,Environment_Medium_SD,surface/open water,surface/open water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; targeted suspicious fallback refinement 2026-04-30
Drinking water from distribution plants,,Drinking water from distribution plants,drinking water from distribution plants,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
environmental swab sponge floor dry aisle,,environmental swab sponge floor dry aisle,environmental swab sponge floor dry aisle,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
waste water from culvert,,waste water from culvert,waste water from culvert,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
Ground Beef (patties),,Ground Beef (patties),ground beef patties,Sample_Type_SD,beef,beef,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
Split Chicken Breast,,Split Chicken Breast,split chicken breast,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
environmental swab lairage,,environmental swab lairage,environmental swab lairage,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
"cattle feces, juveniles",,"cattle feces, juveniles",cattle feces juveniles,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
Water from irrigation pond,,Water from irrigation pond,water from irrigation pond,Environment_Medium_SD,pond water,pond water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
Wild bird feces,,Wild bird feces,wild bird feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
fecal boot swab,,fecal boot swab,fecal boot swab,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
midstream urine,,midstream urine,midstream urine,Sample_Type_SD,urine,urine,clinical/host-associated material,,dictionary,high,approved,manual context recovery review 2026-04-28
blood (Bos taurus),,blood (Bos taurus),blood bos taurus,Sample_Type_SD,blood,blood,clinical/host-associated material,UBERON:0000178,dictionary,high,approved,manual context recovery review 2026-04-28
"10 single cells amplified by MDA; cell type akinete, from sediment",,"10 single cells amplified by MDA; cell type akinete, from sediment",10 single cells amplified by mda cell type akinete from sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
drinking water metagenome,,drinking water metagenome,drinking water metagenome,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
water from subtropical river stream,,water from subtropical river stream,water from subtropical river stream,Environment_Medium_SD,river water,river water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
brackish water collected from the surface of the Baltic Sea,,brackish water collected from the surface of the Baltic Sea,brackish water collected from the surface of the baltic sea,Environment_Medium_SD,brackish water,brackish water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
Stool specimen,,Stool specimen,stool specimen,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
Subsurface shale,,Subsurface shale,subsurface shale,Environment_Medium_SD,subsurface shale,subsurface shale,,,dictionary,high,approved,host-field non-host/geologic routing review 2026-04-28
P-trap,,P-trap,p trap,Sample_Type_SD,trap sample,trap sample,,,dictionary,high,approved,host-field non-host/source routing review 2026-04-28
U-Bend,,U-Bend,u bend,Sample_Type_SD,trap sample,trap sample,,,dictionary,high,approved,host-field non-host/source routing review 2026-04-28
land crag,,land crag,land crag,Environment_Medium_SD,land crag,land crag,,,dictionary,high,approved,host-field non-host/geologic routing review 2026-04-28
natural / free-living,,natural / free-living,natural free living,Environment_Medium_SD,natural/free-living,natural/free-living,,,dictionary,high,approved,host-field non-host/environment routing review 2026-04-28
non-host associated,,non-host associated,non host associated,Sample_Type_SD,metadata descriptor/non-source,metadata descriptor/non-source,metadata descriptor / non-source,,dictionary,high,approved,host-field descriptor routing review 2026-04-28
environmental waters,,environmental waters,environmental waters,Environment_Medium_SD,environmental water,environmental water,environmental material,ENVO:00002006,dictionary,high,approved,host-field non-host/environment routing review 2026-04-28; targeted suspicious fallback refinement 2026-04-30
"Dairy Farm, Water",,"Dairy Farm, Water",dairy farm water,Environment_Medium_SD,agricultural/aquaculture water,agricultural/aquaculture water,environmental material,ENVO:00002006,dictionary,high,approved,host-field non-host/environment routing review 2026-04-28; targeted suspicious fallback refinement 2026-04-30
"Dairy Farm, Faecal",,"Dairy Farm, Faecal",dairy farm faecal,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,UBERON:0001988,dictionary,high,approved,host-field non-host/sample routing review 2026-04-28
Hospital environment,,Hospital environment,hospital environment,Environment_Medium_SD,healthcare facility,healthcare facility,healthcare-associated environment,,dictionary,high,approved,host-field non-host/environment routing review 2026-04-28
ICU environment,,ICU environment,icu environment,Environment_Medium_SD,healthcare facility,healthcare facility,healthcare-associated environment,,dictionary,high,approved,host-field non-host/environment routing review 2026-04-28
laboratory,,laboratory,laboratory,Environment_Medium_SD,laboratory,laboratory,,,dictionary,high,approved,host-field non-host/environment routing review 2026-04-28
In vitro,,In vitro,in vitro,Sample_Type_SD,metadata descriptor/non-source,metadata descriptor/non-source,metadata descriptor / non-source,,dictionary,high,approved,host-field descriptor routing review 2026-04-28
shrimp,,shrimp,shrimp,Sample_Type_SD,seafood,seafood,food/source material,,dictionary,high,approved,host-field food/source routing review 2026-04-28
"Dairy Farm, Bootsock",,"Dairy Farm, Bootsock",dairy farm bootsock,Sample_Type_SD,bootsock/environmental swab,bootsock/environmental swab,clinical/host-associated material,,dictionary,high,approved,conservative host-review source routing; rows=38
foods,,foods,foods,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,conservative host-review source routing; rows=21
Enviroment,,Enviroment,enviroment,Environment_Medium_SD,environmental material,environmental material,,,dictionary,high,approved,conservative host-review source routing; rows=19
"Bootsock, Great Harwood",,"Bootsock, Great Harwood",bootsock great harwood,Sample_Type_SD,bootsock/environmental swab,bootsock/environmental swab,clinical/host-associated material,,dictionary,high,approved,conservative host-review source routing; rows=18
anaerobic digestate,,anaerobic digestate,anaerobic digestate,Environment_Medium_SD,environmental material,environmental material,,,dictionary,high,approved,conservative host-review source routing; rows=17
Raw almond,,Raw almond,raw almond,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,needs_review,conservative host-review source routing; rows=16; demoted duplicate conflict 2026-04-30; preferred=plant/produce food product
strawberry,,strawberry,strawberry,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,needs_review,conservative host-review source routing; rows=13; demoted duplicate conflict 2026-04-30; preferred=plant/produce food product
cantaloupe delicious variety,,cantaloupe delicious variety,cantaloupe delicious variety,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,conservative host-review source routing; rows=13
Shrimp without shell and head,,Shrimp without shell and head,shrimp without shell and head,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,conservative host-review source routing; rows=12
"Bootsock, Blencathra",,"Bootsock, Blencathra",bootsock blencathra,Sample_Type_SD,bootsock/environmental swab,bootsock/environmental swab,clinical/host-associated material,,dictionary,high,approved,conservative host-review source routing; rows=11
cantaloupe,,cantaloupe,cantaloupe,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,needs_review,conservative host-review source routing; rows=10; demoted duplicate conflict 2026-04-30; preferred=plant/produce food product
Enviromental,,Enviromental,enviromental,Environment_Medium_SD,environmental material,environmental material,,,dictionary,high,approved,conservative host-review source routing; rows=9
Turf,,Turf,turf,Environment_Medium_SD,environmental material,environmental material,,,dictionary,high,approved,conservative host-review source routing; rows=9
PDI flour,,PDI flour,pdi flour,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,conservative host-review source routing; rows=9
Kimchi,,Kimchi,kimchi,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,needs_review,conservative host-review source routing; rows=9; demoted duplicate conflict 2026-04-30; preferred=plant/produce food product
spinach,,spinach,spinach,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,needs_review,conservative host-review source routing; rows=8; demoted duplicate conflict 2026-04-30; preferred=plant/produce food product
river,,river,river,Environment_Medium_SD,environmental material,environmental material,,,dictionary,high,approved,conservative host-review source routing; rows=8
Vegetable,,Vegetable,vegetable,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,needs_review,conservative host-review source routing; rows=7; demoted duplicate conflict 2026-04-30; preferred=plant/produce food product
