assembly_accession	biosample	organism	changed_fields	matched_rules	outcomes
GCA_030130605.1	SAMN31927169	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030130645.1	SAMN31927167	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030130695.1	SAMN31927166	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030130795.1	SAMN31927159	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030130845.1	SAMN31927164	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030130865.1	SAMN31927157	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030131085.1	SAMN31927145	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030131185.1	SAMN31927144	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030131225.1	SAMN31927139	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030131445.1	SAMN31927128	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030131545.1	SAMN31927122	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_030131625.1	SAMN31927124	Acinetobacter baumannii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032575415.1	SAMN11391550	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032575435.1	SAMN11391549	Corynebacterium kroppenstedtii	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032575495.1	SAMN11391547	Klebsiella pneumoniae	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032575555.1	SAMN11391546	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032604735.1	SAMN37796828	Staphylococcus aureus	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032604915.1	SAMN37796757	Listeria monocytogenes	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032852745.1	SAMN37873826	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032852765.1	SAMN37873827	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032852805.1	SAMN37873829	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032852825.1	SAMN37873828	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_032852845.1	SAMN37873830	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034421635.1	SAMN13291823	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034421715.1	SAMN13291822	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034421775.1	SAMN13291821	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034421875.1	SAMN13291820	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034421935.1	SAMN13291819	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034422015.1	SAMN13291818	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_034422055.1	SAMN13291816	Clostridium perfringens	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_036323255.1	SAMD00632032	Fusobacterium nucleatum	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_036323275.1	SAMD00632033	Fusobacterium nucleatum	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_036323295.1	SAMD00632034	Fusobacterium nucleatum	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_040576175.1	SAMN42385581	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_040576805.1	SAMN42385580	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_040831525.1	SAMN42764705	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_040831545.1	SAMN42764709	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_040831585.1	SAMN42764706	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
GCA_040833275.1	SAMN42764707	Escherichia coli	Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Host_Study_Group_SD;Semantic_Axis_Provenance	SC1-HHS-HEALTHY-CONTROL-HEALTH;SC1-HHS-HEALTHY-CONTROL-STUDY	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-HEALTH"",""status"":""applied"",""value"":""healthy""},{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Study_Group_SD"",""rule_id"":""SC1-HHS-HEALTHY-CONTROL-STUDY"",""status"":""applied"",""value"":""control""}]"
