count,host_sd,taxid,rank
12,apterostigma,34696,genus
12,Aesculus hippocastanum,43364,species
12,Plantago cylindrica,1928669,species
12,Cichorium intybus,13427,species
12,populus,3689,genus
12,Furculitermes sp.,3163232,species
12,Triplophysa stolickai,3361878,species
12,Sea urchin,7625,class
12,Acheta domesticus,6997,species
12,Kandelia candel,61147,species
12,Alnus incana,3516,species
12,Punica granatum,22663,species
12,Haliclona simulans,492524,species
12,Xestospongia muta,178552,species
12,Atriplex,3550,genus
12,Silurus asotus,30991,species
12,Eothenomys miletus,259054,species
12,Pseudogyrinocheilus prochilus,400002,species
12,Capra ibex,72542,species
12,Sisymbrium officinale,203582,species
12,Mirounga angustirostris,9716,species
12,Hypericum perforatum,65561,species
12,Acacia saligna,420411,species
12,Salamandra salamandra,57571,species
12,Thalassionema frauenfeldii,186022,species
12,Trachymyrmex septentrionalis,34720,species
12,Trieres chinensis,1514140,species
12,Bradypus variegatus,9355,species
12,Neohaematopinus pacificus,1912104,species
11,Loxia curvirostra,64802,species
11,Buteo jamaicensis,56263,species
11,Gruidae,9109,family
11,ostrich,8801,species
11,Melopsittacus undulatus,13146,species
11,Chamelea gallina,138984,species
11,Giant panda,9646,species
11,Tadarida brasiliensis,9438,species
11,Hypophthalmichthys nobilis,7965,species
11,Dama dama,30532,species
11,Morone saxatilis,34816,species
11,Cervus albirostris,1088058,species
11,Sargassum ilicifolium,246892,species
11,Anopheles gambiae,7165,species
11,Anser indicus,8846,species
11,Anopheles sinensis,74873,species
11,mimosa,21013,genus
11,Daucus carota,4039,species
11,Amphibia,8292,class
11,Nerium oleander,63479,species
11,Rhizocarpon geographicum,88642,species
11,Cunninghamia lanceolata,28977,species
11,Glycine soja,3848,species
11,Artemisia,4219,genus
11,Dugesia japonica,6161,species
11,Procapra picticaudata,59540,species
11,Rhodnius prolixus,13249,species
11,Argopecten purpuratus,228297,species
11,Ulva australis,111616,species
11,Aedes albopictus,7160,species
11,Connochaetes taurinus,9927,species
11,Tragelaphus strepsiceros,9946,species
11,Eisenia fetida,6396,species
11,Alnus,3515,genus
11,Vazella pourtalesii,2710537,species
11,Spinibarbus sinensis,352921,species
11,Odontotermes sp.,2769369,species
11,Saltator maximus,460219,species
11,Ricinus communis,3988,species
11,Chrysanthemum x morifolium,41568,species
11,Musa x paradisiaca,89151,species
11,Phractocephalus hemioliopterus,221419,species
11,Petaurus norfolcensis,122272,species
11,Porotermes quadricollis,377978,species
11,Ulva intestinalis,3116,species
11,Lupinus micranthus,53230,species
11,Homo sapiens,9606,
11,Homalodisca vitripennis,197043,species
11,Bactericera cockerelli,290155,species
11,Richardia scabra,60230,species
11,Solanum melongena,4111,species
11,Myosotis arvensis,192338,species
11,Haemaphysalis concinna,523089,species
11,Acropora cervicornis,6130,species
11,Echinophthirius horridus,138816,species
11,Ixodes angustus,35564,species
11,Aporrectodea tuberculata,565146,species
10,Panthera uncia,29064,species
10,Coturnix coturnix,9091,species
10,Perdix perdix,9052,species
10,Equus zebra,9791,species
10,Felidae,9681,family
10,panda,212257,genus
10,Rhinocerotidae,9803,family
10,Polysticta stelleri,234623,species
10,Lutrinae,169417,subfamily
10,acanthamoeba,5754,genus
10,oreochromis,8139,genus
10,Hirundo,43149,genus
10,Arvicolinae,39087,subfamily
10,Ceratitis capitata,7213,species
10,Listeria monocytogenes,1639,species
10,Sesamum indicum,4182,species
10,Carica papaya,3649,species
10,Ambrosia artemisiifolia,4212,species
10,Asterionella formosa,210441,species
10,Pyrus,3766,genus
10,Paullinia cupana,392747,species
10,Humulus lupulus,3486,species
10,Brassica nigra,3710,species
10,Halyomorpha halys,286706,species
10,Ostrea edulis,37623,species
10,Acropora,6127,genus
10,Diploria labyrinthiformis,242715,species
10,Tachysurus vachellii,175792,species
10,Montipora capitata,46704,species
10,Locusta migratoria,7004,species
10,Bactrocera oleae,104688,species
10,Galium aparine,29788,species
10,Euphorbia granulata,1046465,species
10,Solanum nigrum,4112,species
10,Heterelmis comalensis,546733,species
10,Leontopodium alpinum,49078,subspecies
10,Channa argus,215402,species
10,Callithrix geoffroyi,52231,species
10,Bombus pensylvanicus,28643,species
10,Erysimum cheiri,71232,species
10,Bombus pascuorum,65598,species
10,Labiotermes labralis,370423,species
10,Vavilovia formosa,512756,species
10,Aeschynomene indica,48135,species
10,Klyxum echinatum,3283270,species
10,Sarda sarda,8232,species
10,Ixodes uriae,59655,species
10,Neodelphineis sp.,2794243,species
10,Posidonia oceanica,55489,species
10,Steinernema kraussei,172742,species
10,Cryptocercus punctulatus,36984,species
10,Weddell seal,9713,species
9,Podiceps nigricollis,85099,species
9,Leucophaeus atricilla,126679,species
9,Botaurus,110660,genus
9,Chlamydosaurus kingii,103699,species
9,Lepidochelys olivacea,27788,species
9,Pyrrhula pyrrhula,37607,species
9,Otariidae,9702,family
9,Columba palumbus,8934,species
9,Chelydra serpentina,8475,species
9,Nyctereutes procyonoides,34880,species
9,Capra aegagrus,9923,species
9,Ovis sp.,9939,species
9,Vultur gryphus,8924,species
9,Syncerus caffer caffer,37445,subspecies
9,Orcinus orca,9733,species
9,Didelphis marsupialis,9268,species
9,Rangifer tarandus,9870,species
